Feature,Importance
trip_distance,0.8545305421180256
RatecodeID,0.07298589948545313
trip_duration,0.0565559443464571
PULocationID,0.005500872416770612
DOLocationID,0.0026481587055465655
pickup_day,0.0021635995346059316
pickup_hour,0.001793900427388497
payment_type,0.0016787327207733365
pickup_weekday,0.0012291603473988568
passenger_count,0.0006050523742933204
VendorID,0.0002769325268850648
store_and_fwd_flag,3.120499640208236e-05
pickup_month,0.0
